time,data
0.000154257,301
0.000154257,
301,
0.000154257,
301,
0.000154257,
301,
0.000154257,
301,
0.000154257,
301,
0.000154257,
301,
0.000154257,
301,
0.000154257,
301,
0.000154257,
301,
1.650593042,78
1.655792236,60
