eda,
3,
.80,

6.84,
9.07,

10.86,
12.49,
13.39,

14.3,
1,

14.85,

15.0,
8,

15.06,

15.05,
14.84,

14.67,
14.34,
14.07,
13.86,

13,
.49,
13.19,

1,
2.75,

12.,
40,

12.12,

11.,
70,

11.36,

11.09,

10.6,
7,

10.53,

10.23,
9.78,
9.63,

9,
.50,

9.2,
0,

8.96,
8.77,

8,
.61,

8.,
49,

8.39,

8.31,
8.05,
7.84,
7.67,
7.54,

7.43,
7.14,
6.92,
6.73,
6.59,
6.47,

6.,
18,

5.94,

5.75,
5.80,
5.84,
5.67,

5.54,

5.4,
3,

5.34,

5.28,
5.22,
5.18,
4.94,
4.75,
4.80,

4.,
84,

4.8,
7,

4.70,

4.76,
4.81,

4.85,
4.88,
4.70,
4.76,

4.,
81,

4.65,

4.52,
4.41,
4.33,
4.27,
4.01,
3.81,

3,
.65,

3.5,
2,

3.41,

3.33,
3.27,
3.21,
3.17,

3.,
34,

3.2,
7,

3,
.41,

3.5,
3,

3.63,
3.50,
3.60,
3.48,
3.58,

3.,
67,

3.73,

3.,
99,

4.1,
9,

4.35,

4.68,
4.95,
4.96,

5,
.16,
5.33,
5.47,

5.,
57,

5.66,

5.93,
6.14,
6.31,

6.45,
6.56,
6.65,

6,
.72,

6.7,
7,

6.82,

6.,
86,

6.88,
6.91,
6.73,
6.58,
6.46,

6,
.17,

6.1,
4,

5.91,

5.73,
5.58,

5.27,
5.21,
4.97,
4.78,

4.,
62,
4.30,

4.04,

3.8,
3,

3.66,

3.33,
3.06,

2.85,
2.68,
2.55,

2.44,

2.35,
2.28,

2.22,

2.38,
2.30,
2.24,

2,
.19,

2.3,
6,

2.28,

2.23,
2.38,

2.51,
2.60,
2.68,
2.75,

2,
.80,

2.8,
4,

2.87,

2.90,
2.72,
2.57,
2.46,

2.,
37,

2.49,

2.39,
2.3,
2,

2.25,
2.40,

2,
.52,
2.62,

2,
.69,

2.,
76,

2.80,

2.84,
2.87,
2.90,
2.92,

2,
.94,

2.9,
5,

2,
.96,

2.9,
7,

3.17,

3.14,
3.31,
3.25,
3.20,
3.36,

3.49,

3.59,
3.67,
3.54,

3.63,

3,
.70,

3.7,
6,

3,
.81,

3.,
85,

3.88,

3.90,
3.92,
3.94,
3.95,

3,
.76,

3.8,
1,

3.85,

3.88,
3.90,
3.72,
3.78,
3.82,
3.86,

4.,
09,

4.07,

4.25,

4.40,
4.52,
4.62,

4,
.89,

4.9,
2,

4.93,

4.95,
4.96,

4.97,
4.97,
4.98,
5.18,
5.15,

5.1,
2,

5.29,

5.23,
5.39,
5.51,
5.61,
5.69,
5.75,
5.80,
6.04,

6.03,

6.23,
6.18,
6.14,
6.32,
6.25,
6.40,
6.52,

6.62,

6.69,
6.75,
7.00,

7.20,
7.36,
7.69,

7,
.95,

7.9,
6,

8.17,

8.34,
8.47,

8.,
77,

8.82,

9.06,
9.4,
4,

9.56,

9.84,
10.08,
10.46,

1,
0.77,

11,
.01,

11.2,
1,

11.57,

11.8,
6,

12.08,

12.27,
12.41,

12.53,

1,
2.62,
12.70,
12.76,

12,
.81,

12.8,
5,

12.88,

12.70,
12.76,

12.61,
12.69,
12.75,

12.6,
0,

12.48,

12.3,
8,

12.31,

12.25,
12.00,
11.80,
11.84,
11.67,
11.74,

11.59,

11.4,
7,

11.38,

11.30,
11.24,

11.19,
11.15,
11.12,
10.90,

10,
.72,

10.7,
8,

10.62,

10.70,
10.76,
10.81,
10.84,
10.88,
10.70,

10,
.76,

10.6,
1,

10,
.49,

10.3,
9,

10.11,

10.,
09,

9.87,

9.70,
9.76,
9.61,
9.48,

9.,
39,

9.31,

9.25,
9.00,
8.80,
8.64,

8,
.51,
8.21,

7,
.97,

7.7,
7,
7.62,

7.,
50,

7.40,

7.,
32,

7.05,

6.84,

6.67,
6.54,
6.43,

6,
.15,

5.9,
2,

5.93,
5.75,
5.80,
5.84,
5.67,
5.54,

5.4,
3,

5.34,

5.27,
5.02,
4.82,
4.65,
4.52,
4.62,
4.49,
4.40,

4.,
32,
4.25,

4,
.00,

4.0,
0,

4.00,

4.0,
0,

3.80,

3.64,
3.51,
3.41,
3.53,

3.,
42,
3.34,

3.27,

3.4,
2,

3.33,

3.27,
3.21,

3.37,
3.30,
3.44,
3.55,

3.,
84,

3.87,

3.90,
4.12,
4.09,
4.28,

4,
.42,
4.74,

4.99,

5.,
19,

5.35,
5.48,
5.59,
5.67,
5.73,

5,
.99,

5.9,
9,

6.19,

6.55,
6.84,

7.07,
7.06,
7.25,
7.20,

7.,
16,

7.33,

7.26,
7.21,
7.17,

7.13,
7.11,
6.89,

6,
.91,
6.73,
6.38,

6.,
11,

5.88,

5.71,
5.57,
5.45,

5.3,
6,

5.29,

5.0,
3,

5.03,

5.02,
5.22,
5.17,
5.14,

5.11,
5.29,

5.23,
5.18,
5.35,
5.28,

5,
.22,
5.18,
5.14,

5.,
11,

5.09,

5.,
07,

5.06,

5.25,
5.2,
0,

5.16,

5.1,
3,

5.10,

5.08,
5.06,
5.05,
5.24,
5.39,
5.31,
5.05,
5.04,

4,
.83,
4.87,

4,
.89,

4.7,
1,

4.57,

4.26,
4.21,

3.,
96,

3.97,

3.,
98,

3.98,

3.99,

3.99,

3,
.99,
3.79,

3,
.83,

3.8,
7,

3,
.89,

3.,
92,

3.93,

4.,
15,

4.12,

4.29,
4.43,
4.55,
4.84,

5,
.07,

5.0,
6,

5.25,

5.00,
5.00,
5.20,
5.16,

5.,
13,

5.10,

4,
.88,

4.9,
0,

4.92,

5.14,
5.31,

5.45,
5.56,

5.,
45,

5.36,

5.,
29,

5.23,

5.38,
5.51,
5.61,
5.48,
5.39,
5.31,

5,
.25,

5.,
20,

5.16,

5.33,
5.46,
5.37,
5.30,
5.24,
5.19,
